Iteration,MSE_DGP,MSE_estimated_DGP
1,0.0005942663992755115,0.0011994311353191733
2,2.6114581487490796e-05,8.40053689898923e-05
3,0.0012794482754543424,0.004732393193989992
4,0.0008559569250792265,0.002134048379957676
5,0.0003848005144391209,0.0011860335944220424
6,0.002672191010788083,0.5158361196517944
7,2.0164869056316093e-05,0.029949583113193512
8,0.009481669403612614,0.5246211886405945
9,0.009191970340907574,0.06367553770542145
10,2.637972283991985e-05,8.842091483529657e-05
11,0.00019214057829231024,0.0005751045537181199
12,0.0007801640895195305,0.0013049691915512085
13,0.0009800009429454803,0.0007771548698656261
14,1.6700698324711993e-05,0.00011929865286219865
15,0.0001841729535954073,0.0004109281289856881
16,0.0003418749547563493,0.0013598803197965026
17,0.0009203961817547679,0.0021141869947314262
18,0.00013894721632823348,0.00026880079531110823
19,2.71052704192698e-05,0.00012387603055685759
20,0.0002049733157036826,0.0005356611218303442
21,2.1051793737569824e-05,0.0001062709852703847
22,0.0006806949386373162,0.0013431314146146178
23,0.0012372647179290652,0.08643431961536407
24,2.625212619022932e-05,8.4616694948636e-05
25,2.79236955975648e-05,9.304376726504415e-05
26,0.0013146884739398956,0.014407713897526264
27,0.0011884812265634537,0.10777223855257034
28,2.663345730979927e-05,7.47084995964542e-05
29,1.762935244187247e-05,9.865460015134886e-05
30,0.0007731911027804017,0.0014977346872910857
31,0.00030412859632633626,0.0006977995508350432
32,7.486453978344798e-05,0.0008332323050126433
33,3.576000017346814e-05,9.59595781750977e-05
34,3.9175094570964575e-05,7.900722994236276e-05
35,0.0004911724245175719,0.0006660284125246108
36,1.9425544451223686e-05,6.425160972867161e-05
37,2.424453487037681e-05,0.00012896338012069464
38,0.000850064039696008,0.002267722971737385
39,0.0008617828134447336,0.0015032191295176744
40,0.00011346675455570221,0.00011949866893701255
41,0.000154399880557321,0.00045609980588778853
42,0.00753428041934967,0.5295458436012268
43,2.3363003492704593e-05,9.706814307719469e-05
44,0.00014848698629066348,0.00043225105036981404
45,2.5618688596296124e-05,0.00011190411169081926
46,0.0007354614208452404,0.001474891440011561
47,0.0003741640248335898,0.002815685933455825
48,2.617156678752508e-05,9.962348121916875e-05
49,0.0005955916712991893,0.007413843646645546
50,3.196440957253799e-05,0.00014897964138071984
