Iteration,MSE_NNMGP,MSE_estimated_NNMGP
1,9.2099680841784e-06,1.9896320736734197e-05
2,0.0005816578050144017,0.0006720240926370025
3,0.0002870921744033694,0.00509403133764863
4,2.5972063667722978e-05,6.528890662593767e-05
5,0.0007869904511608183,0.017631106078624725
6,6.0057784139644355e-05,0.0024438295513391495
7,1.6286434401990846e-05,2.1967834982206114e-05
8,4.6320528781507164e-05,8.587831689510494e-05
9,0.00010565196862444282,0.00014086872397456318
10,1.3229493561084382e-05,3.535137147991918e-05
11,1.6997513739624992e-05,0.0002034273202298209
12,7.903106961748563e-06,3.267354622948915e-05
13,0.00018013124645221978,0.0065327174961566925
14,1.0123779247805942e-05,2.59013850154588e-05
15,1.8332006220589392e-05,4.458333569345996e-05
16,0.000427557184593752,0.00028615843621082604
17,0.0007999028894118965,0.009572094306349754
18,3.3723605156410486e-05,0.0005450769676826894
19,0.00024010824563447386,0.0008209759835153818
20,0.0002901200787164271,0.0021327799186110497
21,1.2036516636726446e-05,2.22928065340966e-05
22,0.00010984561959048733,0.00018634677689988166
23,0.0011385224061086774,0.013510260730981827
24,6.463612226070836e-05,0.006811661645770073
25,0.0010995269985869527,0.004635860212147236
26,0.00010123421088792384,0.0002069350448437035
27,4.437180905370042e-05,0.0001359454618068412
28,0.0007509927963837981,0.002321118488907814
29,0.0012444338062778115,0.01833551563322544
30,3.060369999730028e-05,4.108214488951489e-05
31,1.7827014744398184e-05,2.85049118247116e-05
32,2.6003461243817583e-05,4.0136248571798205e-05
33,1.779966441972647e-05,3.222813757020049e-05
34,0.00015524703485425562,0.006661038380116224
35,0.00036626672954298556,0.006644491106271744
36,1.358310146315489e-05,2.4445716917398386e-05
37,0.0003341365954838693,0.009550927206873894
38,1.51722479131422e-05,5.406204581959173e-05
39,7.906253449618816e-05,0.0008962363353930414
40,2.9918946893303655e-05,6.45206164335832e-05
41,5.6528555433033034e-05,0.0016819402808323503
42,0.00014926095900591463,0.0033721760846674442
43,1.7790956917451695e-05,3.281109093222767e-05
44,1.2006911674689036e-05,2.6118907044292428e-05
45,1.716400947771035e-05,7.10051172063686e-05
46,0.0013760043075308204,0.0038865399546921253
47,0.0013292398070916533,0.004028636962175369
48,6.5565841396164615e-06,2.345965003769379e-05
49,0.002196769928559661,0.01682136207818985
50,2.619257429614663e-05,0.0001024487501126714
