Iteration,MSE_MVGP,MSE_estimated_MVGP
1,0.00010988560097757727,0.00015062665625009686
2,2.962333928735461e-05,3.7441372114699334e-05
3,0.00021265624673105776,0.0003974715946242213
4,0.00011456821812316775,0.00015916074335109442
5,7.223271677503362e-05,0.00011199314758414403
6,0.00017313451098743826,0.00015765750140417367
7,0.00010046066017821431,0.00017517276864964515
8,0.00012258661445230246,0.00024089097860269248
9,4.0385148167843e-05,0.04081554710865021
10,3.911940075340681e-05,6.405059684766456e-05
11,4.9691392632666975e-05,6.997444870648906e-05
12,0.0001231777569046244,0.00011956207890762016
13,2.1842271962668747e-05,4.9160724302055314e-05
14,0.00012757410877384245,0.00018807745072990656
15,0.00010539087816141546,0.00019338777929078788
16,0.00021715700859203935,0.0003514557902235538
17,5.7818895584205166e-05,8.895296195987612e-05
18,3.301112519693561e-05,4.912641452392563e-05
19,4.48618084192276e-05,6.009369099047035e-05
20,3.632662264863029e-05,6.326971924863756e-05
21,0.00014762309729121625,0.0002813278406392783
22,7.107295095920563e-05,8.169170905603096e-05
23,3.150659176753834e-05,3.871845910907723e-05
24,5.910483014304191e-05,0.00012097613216610625
25,0.00017892001778818667,0.0003842836886178702
26,0.00010450396803207695,0.00013545529509428889
27,6.225174001883715e-05,0.00010315112740499899
28,6.604188092751428e-05,0.00012894501560367644
29,0.0001344204501947388,0.00040212940075434744
30,0.0007630889303982258,0.0008423520484939218
31,4.717353658634238e-05,7.311680383281782e-05
32,0.0001200080441776663,0.0001715618564048782
33,3.7745729059679434e-05,6.580237823072821e-05
34,4.9867696361616254e-05,0.00010591447789920494
35,6.704456609440967e-05,0.00010216765076620504
36,3.597834802349098e-05,5.9779664297821e-05
37,0.00030488878837786615,0.00047153676860034466
38,2.964858867926523e-05,7.737237319815904e-05
39,5.841455276822671e-05,8.817836351227015e-05
40,3.0529554351232946e-05,5.862301986780949e-05
41,7.681357965338975e-05,8.791919390205294e-05
42,9.556209261063486e-05,0.0001483959349570796
43,0.0006589181139133871,0.0012691275915130973
44,4.092311064596288e-05,7.762442692182958e-05
45,4.4600990804610774e-05,7.240843115141615e-05
46,4.955831900588237e-05,0.0001160691463155672
47,0.0002359510981477797,0.0006944477208890021
48,0.0003217488992959261,0.00045158102875575423
49,3.4772947401506826e-05,6.0534290241776034e-05
50,0.0005528893670998514,0.0012973712291568518
