Iteration,MSE_VGP,MSE_estimated_VGP
1,8.695916039869189e-05,0.00013004004722461104
2,0.00011414325126679614,0.0002626398054417223
3,0.00021342399122659117,0.0002294210426043719
4,0.00014663662295788527,0.0002049286849796772
5,0.00016066181706264615,0.00013971995213069022
6,0.0001438103208784014,0.00015272459131665528
7,9.314154158346355e-05,0.00011284619540674612
8,0.0001981747045647353,0.0006646057008765638
9,0.00015387374151032418,0.00024987212964333594
10,0.00017296989972237498,0.0001825273793656379
11,0.00024946944904513657,0.00022676547814626247
12,0.00014977919636294246,0.000267455936409533
13,0.00015136084402911365,0.000224951101699844
14,0.00015711468586232513,0.00021553432452492416
15,0.0002758076589088887,0.0007970969891175628
16,0.00013671076158061624,0.00014047828153707087
17,0.00024325550475623459,0.0005777777987532318
18,0.00011443327093729749,0.00023708610387984663
19,0.00015486174379475415,0.0002464204153511673
20,9.391145431436598e-05,0.00020758168830070645
21,0.00018501750309951603,0.00040301322587765753
22,0.00017881699022836983,0.0003923355834558606
23,0.0003226124099455774,0.0003264215774834156
24,0.00027068666531704366,0.0004295907274354249
25,0.00015688370331190526,0.00033004037686623633
26,0.0003241176309529692,0.00027126065106131136
27,0.000335347285727039,0.000564741319976747
28,0.00027007044991478324,0.0004489504499360919
29,9.394165681442246e-05,0.00013742389273829758
30,6.729824235662818e-05,0.00010660845146048814
31,0.00016232063353527337,0.000261117733316496
32,0.0003398753178771585,0.0011266543297097087
33,0.00017476093489676714,0.0009423444862477481
34,0.00010266860044794157,7.805111818015575e-05
35,0.00015111609536688775,0.00019519132911227643
36,0.000333653501002118,0.0005872347974218428
37,0.0003940251481253654,0.0006955608259886503
38,0.00010209817992290482,0.00027793479966931045
39,0.0002745194942690432,0.00038114748895168304
40,9.765089635038748e-05,0.00022764205641578883
41,0.0001773510593920946,0.00026258875732310116
42,0.00019335123943164945,0.0002457364753354341
43,0.0001790711539797485,0.0003324394638184458
44,0.000203646719455719,0.00026215563411824405
45,0.00017041678074747324,0.00031430702074430883
46,0.00012962293112650514,0.00011922897101612762
47,0.00042595373815856874,0.0011336570605635643
48,9.750211756909266e-05,0.00015021912986412644
49,6.585212395293638e-05,9.314040653407574e-05
50,0.00012361083645373583,0.0002577200357336551
