Iteration,MSE_VGP,MSE_estimated_VGP
1,0.0002512637584004551,0.2223081737756729
2,0.0009777427185326815,0.2768996059894562
3,0.0005432266625575721,0.21325327455997467
4,0.0005859281518496573,0.15098081529140472
5,0.0006610799464397132,0.21630257368087769
6,0.0008722803322598338,0.16915470361709595
7,0.0005526058375835419,0.3721727132797241
8,0.0002747804974205792,0.32105329632759094
9,0.000416004826547578,0.19730035960674286
10,0.0007267686887644231,0.4272066354751587
11,0.0005424162955023348,0.15505915880203247
12,0.0007171050528995693,0.15293733775615692
13,0.0007443455397151411,0.1271221935749054
14,0.0005669781239703298,0.28737714886665344
15,0.0007026100647635758,0.2323056012392044
16,0.0004566929710563272,0.1605582982301712
17,0.0005515565280802548,0.6147094964981079
18,0.0002956914540845901,0.006662856321781874
19,0.0008383332169614732,0.08660369366407394
20,0.0006651674048043787,0.11193286627531052
21,0.0005172986420802772,0.02184472419321537
22,0.0003598939219955355,0.4106549322605133
23,0.0004088312271051109,0.4336755871772766
24,0.000200493581360206,0.04012292996048927
25,0.00019207778677809983,0.2802540957927704
26,0.00041036319453269243,0.057930946350097656
27,0.0012443456798791885,0.2185705304145813
28,0.0005918354145251215,0.07814500480890274
29,0.0003510413516778499,0.19136078655719757
30,0.0003995266743004322,0.13369379937648773
31,0.00043935078429058194,0.20419979095458984
32,0.000765394710469991,0.240789994597435
33,0.000660419522318989,0.05706830322742462
34,0.0008484309073537588,0.3686116635799408
35,0.0003344849101267755,0.08561189472675323
36,0.0004327287897467613,0.07225814461708069
37,0.00031500105978921056,0.34812605381011963
38,0.0003472912067081779,0.2952382266521454
39,0.000714024412445724,0.3635473847389221
40,0.00041256388067267835,0.3334793150424957
41,0.0006469390937127173,0.22240911424160004
42,0.0006241146475076675,0.12102683633565903
43,0.000427206075983122,0.037499673664569855
44,0.00044267188059166074,0.06404123455286026
45,0.0005739075131714344,0.41731029748916626
46,0.0008181370794773102,0.25287967920303345
47,0.0005133493687026203,0.28846031427383423
48,0.0003609385748859495,0.5233859419822693
49,0.0003550476976670325,0.07043290883302689
50,0.0007344920304603875,0.27290958166122437
