Iteration,MSE_MVGP,MSE_estimated_MVGP
1,0.0001950538280652836,0.13429483771324158
2,9.356912778457627e-05,0.47567906975746155
3,7.08936495357193e-05,0.3575035333633423
4,0.00012392777716740966,0.025776198133826256
5,0.0005061149131506681,0.047639813274145126
6,0.00017806224059313536,0.19396159052848816
7,0.00013341697922442108,0.24405379593372345
8,7.544943218817934e-05,0.12963281571865082
9,0.0002885378780774772,0.10268907994031906
10,8.194282418116927e-05,0.27557048201560974
11,0.00019601851818151772,0.33635270595550537
12,0.0001702293084235862,0.2862327992916107
13,0.00015646053361706436,0.07970371842384338
14,0.00021702208323404193,0.24280793964862823
15,0.0007248384063132107,0.09017206728458405
16,0.0003178627521265298,0.24875949323177338
17,9.077456343220547e-05,0.2348741739988327
18,7.44027056498453e-05,0.18133066594600677
19,0.00014654838014394045,0.13337606191635132
20,8.361089567188174e-05,0.1633898913860321
21,4.268997145118192e-05,0.0596170574426651
22,7.935356552479789e-05,0.18510742485523224
23,7.983855903148651e-05,0.06875385344028473
24,0.00013860767649021,0.274220734834671
25,0.00012451910879462957,0.32147783041000366
26,0.0004733356472570449,0.22630858421325684
27,0.000290222727926448,0.2519156336784363
28,8.586857438785955e-05,0.010418577119708061
29,0.0001084976684069261,0.030861960723996162
30,0.00010963475506287068,0.10462303459644318
31,0.00013277317339088768,0.505047619342804
32,0.0001248773478437215,0.40037310123443604
33,0.00012206382962176576,0.03517155349254608
34,0.00011963377619395033,0.04277339205145836
35,0.00010729988571256399,0.20244844257831573
36,8.083345892373472e-05,0.5402791500091553
37,7.985605770954862e-05,0.2243988811969757
38,0.00027928355848416686,0.17040777206420898
39,0.001155113335698843,0.22941529750823975
40,0.00010637209197739139,0.15865616500377655
41,0.00017095050134230405,0.11396978795528412
42,0.00028655349160544574,0.13435202836990356
43,0.00012437262921594083,0.397487998008728
44,0.00011949878535233438,0.235557422041893
45,0.00015637864999007434,0.13762332499027252
46,0.00024242006475105882,0.0761963278055191
47,0.0001244930172106251,0.24626614153385162
48,0.00013879529433324933,0.11501342058181763
49,0.0001262309669982642,0.16107167303562164
50,0.00042640994070097804,0.4396972060203552
