Iteration,MSE_NNLocalGP,MSE_estimated_NNLocalGP
1,0.0016942338552325964,1.7040932178497314
2,0.0004230185004416853,1.115687370300293
3,0.0006563856150023639,1.3581854104995728
4,0.0006058812723495066,1.8931175470352173
5,0.0003646059485618025,1.2466471195220947
6,0.0010118188802152872,1.0912107229232788
7,0.0005611010710708797,1.1297160387039185
8,0.0007236732635647058,1.0763850212097168
9,0.0008095962693914771,0.8775069713592529
10,0.000724003475625068,1.3493796586990356
11,0.0008070952608250082,1.110800862312317
12,0.0006312530022114515,1.6621136665344238
13,0.0004688180342782289,0.7181513905525208
14,0.0008865316049195826,1.8153417110443115
15,0.0016759124118834734,1.6151154041290283
16,0.0016455933218821883,1.358360767364502
17,0.0008906982257030904,1.2682433128356934
18,0.0002626921923365444,0.6552101373672485
19,0.0007378345471806824,0.9380555152893066
20,0.00037685679853893816,1.1213629245758057
21,0.0008529657498002052,1.193743348121643
22,0.0006047466886229813,1.3158961534500122
23,0.0003202886728104204,1.2149901390075684
24,0.0013715960085391998,1.3145570755004883
25,0.000849692733027041,1.277711033821106
26,0.0007718319538980722,0.9147685766220093
27,0.0004506224358920008,1.3707760572433472
28,0.0003260481171309948,0.8680672645568848
29,0.00048615847481414676,1.316231608390808
30,0.00024253888113889843,1.2903465032577515
31,0.0006749762687832117,1.075060248374939
32,0.0006674350588582456,1.180580735206604
33,0.0021941314917057753,1.999688744544983
34,0.00042124296305701137,0.8522319793701172
35,0.0007949071587063372,1.6096583604812622
36,0.0011696935398504138,2.36586594581604
37,0.000258412619587034,1.2647440433502197
38,0.0005317223840393126,0.9208277463912964
39,0.0008109020418487489,1.0431252717971802
40,0.0006405795575119555,1.5905965566635132
41,0.0010607254225760698,1.6189030408859253
42,0.00026670779334381223,0.8377699851989746
43,0.0008798830094747245,0.9012566804885864
44,0.001084649353288114,0.9880632758140564
45,0.0010910340351983905,1.7153130769729614
46,0.0007839357131160796,1.0402231216430664
47,0.0005828154389746487,1.1997191905975342
48,0.0004121086385566741,0.8145886659622192
49,0.000653727853205055,1.0273064374923706
50,0.0004794683773070574,1.2808586359024048
