Iteration,MSE_NNMGP,MSE_estimated_NNMGP
1,0.0005573534872382879,1.4181487560272217
2,0.0003886826743837446,0.6885559558868408
3,0.00010273601219523698,0.5550970435142517
4,0.0008143286104314029,0.8704516291618347
5,0.000295769888907671,0.5845375061035156
6,0.0008015222265385091,0.844299852848053
7,0.0005655348650179803,1.2970664501190186
8,0.0001398896856699139,0.718117892742157
9,0.00012876163236796856,0.6098454594612122
10,0.00011677696602419019,0.513484537601471
11,0.0001375065476167947,0.5202043056488037
12,9.677807247499004e-05,0.8129971623420715
13,0.0002925226290244609,0.6837328672409058
14,0.00016638447414152324,0.8533561825752258
15,0.0006079234881326556,0.43069785833358765
16,0.0003321712138131261,0.5121629238128662
17,0.00019017489103134722,0.851813554763794
18,0.00011044937127735466,0.6803693175315857
19,0.00020501822291407734,1.0128849744796753
20,0.0002977291005663574,0.7220341563224792
21,8.756412717048079e-05,0.7727884650230408
22,0.00014192404341883957,1.0849539041519165
23,0.00047613083734177053,0.6854149103164673
24,0.0003659387584775686,0.9750380516052246
25,0.0007923562661744654,0.5663176774978638
26,0.0007604225538671017,0.5318604707717896
27,0.00024304074759129435,0.5904486775398254
28,0.0006007015472277999,0.611056923866272
29,0.0002951896167360246,0.8305827379226685
30,0.00013975618639960885,0.6715386509895325
31,0.00019880698528140783,0.637117326259613
32,0.00013870414113625884,0.6255112290382385
33,0.00043643757817335427,0.8200985789299011
34,0.00016513050650246441,0.9464709162712097
35,0.00023724642232991755,0.8431329131126404
36,0.0002310156705789268,0.514194905757904
37,0.00019576423801481724,0.7638984322547913
38,0.0004614243807736784,0.7328857779502869
39,0.0003803831059485674,1.1146000623703003
40,0.00023698346922174096,0.7100964784622192
41,0.0016244160942733288,1.3827600479125977
42,9.678998321760446e-05,0.925700306892395
43,0.0008072234923020005,0.8414558172225952
44,0.000185395052540116,0.7774008512496948
45,0.00015261024236679077,0.8726904392242432
46,0.0003035831905435771,0.6488122344017029
47,0.0012873883824795485,1.2659493684768677
48,0.00013601755199488252,0.5209861993789673
49,0.0012293544132262468,0.5179182291030884
50,0.0007087307749316096,0.9428741931915283
