Iteration,MSE_MVGP,MSE_estimated_MVGP
1,6.637699698330835e-05,0.5427654981613159
2,0.0002523518051020801,0.7390448451042175
3,7.416070729959756e-05,0.6123519539833069
4,6.466450577136129e-05,0.6509900689125061
5,6.040622611180879e-05,0.9987552165985107
6,5.722608693758957e-05,0.9378061890602112
7,0.00016861926997080445,0.695241391658783
8,6.75950723234564e-05,0.6447105407714844
9,0.0001158330705948174,0.6617848873138428
10,7.74631553213112e-05,0.7839137315750122
11,4.763796096085571e-05,0.6674197316169739
12,7.839704630896449e-05,0.8530310392379761
13,9.801467240322381e-05,0.9100192189216614
14,0.00010885440860874951,1.1530426740646362
15,8.741778583498672e-05,0.5852707028388977
16,5.481779226101935e-05,0.5188367366790771
17,6.591591954929754e-05,0.6330700516700745
18,6.105384818511084e-05,0.7885809540748596
19,9.909965592669323e-05,0.8665857911109924
20,0.00010448000830365345,0.6690987348556519
21,0.00017126603052020073,0.7278065085411072
22,6.757047958672047e-05,0.787756621837616
23,0.00021210202248767018,0.4874774217605591
24,0.00015164355863817036,1.3342934846878052
25,0.00011252082913415506,0.7868231534957886
26,9.385591692989692e-05,0.6185798048973083
27,4.3444219045341015e-05,0.5966616272926331
28,0.0001197642195620574,0.8286299705505371
29,6.022641173331067e-05,0.8785224556922913
30,0.00021720070799347013,1.0501357316970825
31,3.730119715328328e-05,1.0032941102981567
32,7.47319936635904e-05,0.8832332491874695
33,6.057161226635799e-05,1.4314085245132446
34,8.668069494888186e-05,0.5120328664779663
35,6.020020373398438e-05,0.8434510231018066
36,0.00013742961164098233,0.6188876032829285
37,0.00014909547462593764,1.395655632019043
38,5.7913202908821404e-05,1.0490235090255737
39,0.0001253913651453331,0.9431310296058655
40,0.0002860436507035047,0.5037044286727905
41,0.0001210110422107391,0.8901965618133545
42,4.201545743853785e-05,0.41084691882133484
43,6.316287908703089e-05,0.7574463486671448
44,0.00021790906612295657,0.5894843935966492
45,8.141503349179402e-05,1.2790220975875854
46,6.296084029600024e-05,1.064955711364746
47,0.00013198881060816348,1.0409761667251587
48,8.852928294800222e-05,0.7706565856933594
49,8.722639176994562e-05,0.9651833772659302
50,0.00031999219208955765,0.4971369206905365
