Iteration,MSE_VGP,MSE_estimated_VGP
1,0.0003547348314896226,0.5173120498657227
2,0.0002052256604656577,0.6892262101173401
3,0.00016842971672303975,0.582659125328064
4,0.00026708029326982796,1.0737286806106567
5,0.0003776811354327947,0.7693570256233215
6,0.00015279509534593672,0.7634848356246948
7,0.0002008974552154541,0.7289466857910156
8,0.00018781947437673807,0.7529335618019104
9,0.0005715170409530401,0.7890290021896362
10,0.00017699234012980014,0.6585200428962708
11,0.00012971734395250678,0.7652591466903687
12,0.00033702433574944735,0.9003880620002747
13,0.0004588849260471761,1.0433831214904785
14,0.0007340320153161883,0.9437931180000305
15,0.0018079904839396477,0.9577153325080872
16,0.0003168745315633714,0.9946121573448181
17,0.0001870553387561813,0.6963797211647034
18,0.00013306028267834336,0.5854822993278503
19,0.00020863322424702346,0.9534491896629333
20,0.0003788962494581938,0.5690711736679077
21,0.0004466257814783603,0.5813643932342529
22,0.0001972845202544704,0.7094948291778564
23,0.0004274451348464936,1.0094252824783325
24,0.0003632904845289886,0.7859341502189636
25,0.00021667014516424388,0.40451622009277344
26,0.0014960941625759006,0.9790209531784058
27,0.001203289139084518,0.5325683951377869
28,0.0005459563108161092,0.5989386439323425
29,0.00021343972184695303,0.5634390711784363
30,0.0005777139449492097,0.7652857899665833
31,0.00033020201954059303,0.8061164021492004
32,0.0004066386027261615,0.475242555141449
33,0.0009175833547487855,0.8383594751358032
34,0.00048159854486584663,0.8127865195274353
35,0.000399290700443089,1.205225944519043
36,0.00019863266788888723,1.0490363836288452
37,0.00018103336333297193,0.6871896386146545
38,0.0002827006974257529,0.7512794137001038
39,0.00012382541899569333,1.2452605962753296
40,0.0003511258400976658,0.8194843530654907
41,0.0002033142518484965,0.7445566654205322
42,0.00017623732856009156,0.4952627718448639
43,0.0005210098461247981,1.7474464178085327
44,0.00025053563877008855,0.7888194918632507
45,0.00041867728577926755,0.5367692708969116
46,0.0003361276176292449,1.2192564010620117
47,9.648186824051663e-05,0.6971315741539001
48,0.00036064774030819535,0.897861123085022
49,0.0007277614204213023,0.5779145359992981
50,0.0002933747600764036,0.9627193212509155
