Iteration,MSE_DGP,MSE_estimated_DGP
1,4.590187018038705e-05,0.697063148021698
2,4.1446168324910104e-05,0.8513606786727905
3,0.001619820250198245,0.9223099946975708
4,0.0014257390284910798,0.9871079325675964
5,0.0010533941676840186,0.7397379875183105
6,0.0023625786416232586,0.7483540773391724
7,0.0004472270666155964,0.736443281173706
8,0.00037616814370267093,1.1478441953659058
9,0.0012169706169515848,0.8521296381950378
10,0.0007107036071829498,0.7899205088615417
11,0.0009592969436198473,1.1448050737380981
12,0.00033115054247900844,0.5477080941200256
13,0.0009068750077858567,0.8510288596153259
14,0.0009377804817631841,0.5334945321083069
15,0.0012854699743911624,0.7123609185218811
16,5.4789201385574415e-05,0.8802890181541443
17,0.0008253584965132177,0.6672059297561646
18,4.065691973664798e-05,1.0020614862442017
19,0.0012571184197440743,0.43354734778404236
20,0.001190343638882041,1.022214651107788
21,5.4716372687835246e-05,0.4794939458370209
22,4.837791493628174e-05,0.7883049249649048
23,0.00010532814485486597,0.8604030013084412
24,4.5474120270228013e-05,0.47225967049598694
25,9.725197742227465e-05,0.6958160400390625
26,7.00680902809836e-05,0.7044731378555298
27,0.0001804628991521895,0.830076277256012
28,5.786816473118961e-05,0.6455836892127991
29,3.8204783777473494e-05,0.9025582075119019
30,0.0006683920510113239,0.7164971828460693
31,0.0005799392820335925,0.7647609114646912
32,0.0002513114013709128,0.9206619262695312
33,6.645790563197806e-05,0.4810492694377899
34,0.0008614521357230842,0.5207456946372986
35,0.0004973606555722654,1.1091983318328857
36,0.0006818252732045949,0.625530481338501
37,6.430206849472597e-05,0.6681203246116638
38,3.8508151192218065e-05,1.0026164054870605
39,0.0007144776755012572,0.6725865006446838
40,3.428712079767138e-05,0.9310653805732727
41,0.0013041512575000525,0.8095663785934448
42,0.00029071667813695967,0.7478070855140686
43,4.5321681682253256e-05,0.5620431303977966
44,5.0003778596874326e-05,1.1423174142837524
45,6.894281978020445e-05,0.6327255964279175
46,0.00032857820042409003,1.2865105867385864
47,0.0010258270194754004,0.7794471979141235
48,4.383838677313179e-05,1.0290435552597046
49,0.0011708381352946162,1.1488252878189087
50,0.0008834974141791463,0.6115577220916748
