Iteration,MSE_MGP,MSE_estimated_MGP
1,1.665868239797419e-06,1.6841622709762305e-05
2,3.3754170090105617e-06,1.726230766507797e-05
3,2.454276227581431e-06,6.7760674937744625e-06
4,1.1462540214779438e-06,4.423229711392196e-06
5,2.5108540739893215e-06,1.631791928957682e-05
6,2.7651474283629796e-06,1.2258919014129788e-05
7,1.637384002606268e-06,1.1344061931595206e-05
8,1.7468701116740704e-06,1.4451105016632937e-05
9,1.7796772908695857e-06,6.057889095245628e-06
10,1.9528160919435322e-06,8.10124765848741e-06
11,2.310267518623732e-06,2.0186180336168036e-05
12,1.8660432488104561e-06,1.7467864381615072e-05
13,1.9375065676285885e-06,8.031307515921071e-06
14,3.088915718763019e-06,1.558706753712613e-05
15,3.4308045542275067e-06,1.541393794468604e-05
16,1.565325078445312e-06,4.170914507994894e-06
17,3.2018831461755326e-06,4.9757702072383836e-05
18,2.6737582174973795e-06,4.2437379306647927e-05
19,2.3823788524168776e-06,1.0733297131082509e-05
20,1.2377616940284497e-06,7.767995157337282e-06
21,2.102948656101944e-06,1.0621820365486201e-05
22,1.1054703463742044e-06,3.860166998492787e-06
23,1.6393753412557999e-06,4.135015387873864e-06
24,2.459253209963208e-06,6.247415512916632e-06
25,2.6837928999157157e-06,1.7498558008810505e-05
26,2.0039660739712417e-06,1.929523205035366e-05
27,1.6122655779327033e-06,8.99911447049817e-06
28,1.6941469311859692e-06,2.9969291972520296e-06
29,1.1682532203849405e-06,6.499120900116395e-06
30,2.519489953556331e-06,1.8682887457543984e-05
31,2.1724540602008346e-06,1.013479231914971e-05
32,1.8432749584462726e-06,1.289870579057606e-05
33,1.9515275653247954e-06,6.7580954237200785e-06
34,1.9450833406153833e-06,7.811847353877965e-06
35,2.6517971036810195e-06,5.014886937715346e-06
36,1.8430609998176806e-06,6.414311883418122e-06
37,1.5965413240337512e-06,5.125212283019209e-06
38,1.6506336351085338e-06,4.69678388981265e-06
39,2.7726816824724665e-06,1.053080541169038e-05
40,2.575038024588139e-06,6.523761385324178e-06
41,1.7437135966247297e-06,1.1269749847997446e-05
42,3.6684400583908428e-06,0.08761537820100784
43,2.1198618469497887e-06,9.887408850772772e-06
44,1.2960364301761729e-06,6.4223859226331115e-06
45,2.7070118449046277e-06,4.165175141679356e-06
46,2.523256398490048e-06,1.7311207557213493e-05
47,3.764838766073808e-06,9.885407962428872e-06
48,3.3574560802662745e-06,4.5221545406093355e-06
49,9.314928206549666e-07,2.0263623810024e-06
50,2.1660221136698965e-06,1.1216587154194713e-05
