Iteration,MSE_LocalGP,MSE_estimated_LocalGP
1,1.2929241165693384e-05,0.11165974289178848
2,6.953327556402655e-06,6.418440898414701e-05
3,7.780883606756106e-06,0.006197499111294746
4,2.4723624392208876e-06,1.4374822967511136e-05
5,2.850565579137765e-06,2.231845246569719e-05
6,4.83217218061327e-06,0.0002332889853278175
7,2.578678731879336e-06,3.060488234041259e-05
8,8.314614206028637e-06,2.2581052689929493e-05
9,2.8943441066076048e-05,0.09570854902267456
10,7.958897185744718e-06,6.209502316778526e-05
11,1.9040353436139412e-06,4.781606185133569e-05
12,1.8886861653300002e-05,0.00038547036820091307
13,7.871065463405102e-06,6.299094093265012e-05
14,1.1208702744625043e-05,0.0634148120880127
15,1.90726780147088e-06,0.00706930598244071
16,1.0343520443711895e-05,8.118044934235513e-05
17,8.037844054342713e-06,0.021249379962682724
18,7.857807759137359e-06,0.0011141338618472219
19,1.203803731186781e-05,0.20377175509929657
20,6.3577122091373894e-06,1.521526155556785e-05
21,2.352545152461971e-06,2.2974618332227692e-05
22,1.535373303340748e-05,2.309993578819558e-05
23,2.039763785433024e-06,1.3422013580566272e-05
24,6.641818799835164e-06,0.03491344675421715
25,2.7450157631392358e-06,1.0272785402776208e-05
26,4.889383944828296e-06,1.4096775885263924e-05
27,7.377989277301822e-06,7.149613520596176e-05
28,6.615087841055356e-06,8.60061845742166e-06
29,1.4940318578737788e-05,0.00010493701120140031
30,1.4782875041419175e-05,0.00012192833673907444
31,3.1709132599644363e-06,2.3351045456365682e-05
32,3.400999503355706e-06,4.7175930376397446e-05
33,1.5233368685585447e-05,1.2919706023239996e-05
34,1.1189041288162116e-05,0.015361777506768703
35,9.889309694699477e-06,2.1628267859341577e-05
36,5.96079644310521e-06,0.050164010375738144
37,5.243504801910603e-06,0.00042794900946319103
38,8.652949873066973e-06,9.552427218295634e-05
39,1.2935886843479238e-05,7.961010123835877e-05
40,8.241355317295529e-06,0.0028328050393611193
41,4.432449713931419e-06,4.02470504923258e-05
42,7.5364173426351044e-06,2.3825781681807712e-05
43,3.1764566301717423e-06,1.6071122445282526e-05
44,8.866449206834659e-06,5.465042340802029e-05
45,1.5851208445383236e-05,3.1055646104505286e-05
46,6.930365998414345e-06,1.9044362488784827e-05
47,6.4671771724533755e-06,0.011574999429285526
48,1.599469396751374e-05,0.0009796597296372056
49,7.32267244529794e-06,0.038181986659765244
50,3.958359684474999e-06,1.26544919112348e-05
