Iteration,MSE_LocalGP,MSE_estimated_LocalGP
1,8.560802234569564e-05,1.0267438888549805
2,2.22467406274518e-05,0.8374640941619873
3,9.87335733952932e-05,1.2316968441009521
4,2.711608976824209e-05,0.558864414691925
5,1.1810403520939872e-05,0.638935387134552
6,1.1265217835898511e-05,0.45362457633018494
7,7.143305992940441e-06,0.9066665172576904
8,1.1275910765107255e-05,1.4897593259811401
9,3.578467294573784e-05,0.896004855632782
10,3.253017348470166e-05,0.6389909386634827
11,9.244721695722546e-06,0.5640079379081726
12,8.104498192551546e-06,0.6065869331359863
13,1.2823006727558095e-05,0.67787766456604
14,4.504774187807925e-05,1.1218922138214111
15,1.2248147868376691e-05,0.5584006905555725
16,6.287439191510202e-06,0.8558144569396973
17,2.5275912776123732e-05,0.9846324324607849
18,1.203020383400144e-05,0.5025082230567932
19,8.51957593113184e-05,0.8287695646286011
20,5.2059760491829365e-05,1.5010285377502441
21,4.852608617511578e-05,0.8358388543128967
22,1.730507028696593e-05,0.7955524325370789
23,9.226610927726142e-06,0.6015452742576599
24,1.704480564512778e-05,0.5814213752746582
25,2.722059616644401e-05,0.600455105304718
26,0.00017308062524534762,1.8385831117630005
27,1.6169200534932315e-05,0.9629737734794617
28,1.451948264730163e-05,0.9239391088485718
29,9.40166773943929e-06,0.47993800044059753
30,9.585707630321849e-06,0.4149153232574463
31,0.00011008124420186505,1.2829668521881104
32,2.5825327611528337e-05,0.9835938215255737
33,1.8546585124568082e-05,0.6674460768699646
34,3.0151517421472818e-05,1.0171090364456177
35,2.1055826437077485e-05,1.1230262517929077
36,1.4937097148504108e-05,0.5430368781089783
37,4.2229381506331265e-05,0.9209762811660767
38,2.2576687115360983e-05,0.9871231913566589
39,1.659160443523433e-05,0.744999349117279
40,7.037102477625012e-05,0.98982834815979
41,1.7563193978276104e-05,0.6084405183792114
42,2.4593346097390167e-05,0.9674667119979858
43,8.516122761648148e-06,0.5733346343040466
44,2.3562541173305362e-05,0.6033568978309631
45,4.2050316551467404e-05,0.9622628688812256
46,9.088782462640665e-06,0.7907530665397644
47,1.3975515685160644e-05,0.6715347766876221
48,9.223040251526982e-06,0.7191174030303955
49,9.9962280728505e-06,0.5760335326194763
50,4.256634565535933e-05,1.1649065017700195
