Iteration,MSE_LocalGP,MSE_estimated_LocalGP,func_loss
1,1.3264824701764155e-05,0.2599911689758301,0.0026706108207387538
2,4.4497624003270175e-06,0.34567075967788696,0.001003039360781528
3,4.282506324670976e-06,0.1464453935623169,0.0018464274175197784
4,3.1036440759635298e-06,0.11951279640197754,0.0005254181622957629
5,6.843778010079404e-06,0.5129245519638062,0.0018252248671531022
6,1.5633935618097894e-05,0.7045145630836487,0.0036131145810671754
7,3.382611339475261e-06,0.5748691558837891,0.0005668589346222925
8,1.5181188928181655e-06,0.0002161292068194598,0.00027694187951123305
9,9.346272236143705e-06,0.6014528870582581,0.0009591482696662381
10,4.662766514229588e-06,0.3079025447368622,0.0013328113650290848
11,1.6829027345011127e-06,1.7291520634898916e-05,0.00024582921684702377
12,1.4882421055517625e-05,0.161406472325325,0.0023351860261889806
13,1.8559236195869744e-05,0.36093878746032715,0.0031395842512817276
14,9.555228643876035e-06,0.3224608302116394,0.002386877288194632
15,3.326397927594371e-05,0.44116634130477905,0.00321131054321692
16,1.171496364804625e-06,9.461242370889522e-06,0.0002607958386862366
17,1.463475655327784e-06,0.3773219585418701,0.0005237127198024946
18,2.7869120458490215e-05,0.7348202466964722,0.003754981921466188
19,1.8980856566486182e-06,0.0005732939462177455,0.0003695753486546757
20,1.3813847544952296e-05,0.4986063241958618,0.003985996865257794
21,6.060906343918759e-06,0.06644376367330551,0.0019377743165360126
22,2.184598770327284e-06,0.013194962404668331,0.00035308792488380006
23,2.786191544146277e-06,0.03062618523836136,0.000614815547224781
24,2.056412768070004e-06,0.24598830938339233,0.0006896062599547871
25,1.418958436261164e-05,0.7695655226707458,0.002910907120100024
26,1.1106797501270194e-05,0.14708377420902252,0.0018369963595601061
27,3.832750280707842e-06,0.3427155017852783,0.000997602899318466
28,4.344100034359144e-06,0.0962127074599266,0.0014315286324644047
29,2.8426882636267692e-05,0.7510688900947571,0.0032657846893050227
30,2.513374056434259e-06,0.06136268377304077,0.0006813060632945659
31,1.1587674634938594e-05,0.30853036046028137,0.002565730715745034
32,1.0501352335268166e-05,0.4736490249633789,0.0019544329944538833
33,9.521568244963419e-06,0.6734101176261902,0.0020992121212152094
34,7.738599379081279e-06,0.7658600211143494,0.0015043941152894317
35,2.429421328997705e-06,0.030745502561330795,0.0009487420187118308
36,1.3302945944815292e-06,0.007294662296772003,0.00033697288866581704
37,1.0683942264222424e-06,0.11624626815319061,0.0006035702495460606
38,2.950755288111395e-06,0.2233821004629135,0.0018055631400986588
39,7.882877071097028e-06,0.6125186681747437,0.0022914346690986014
40,9.433222658117302e-06,0.051398977637290955,0.002542493163707183
41,6.70717690809397e-06,0.17551244795322418,0.0022996118063424043
42,9.510836207482498e-06,0.6634699702262878,0.0014138010089178958
43,1.28783613035921e-05,0.6050896644592285,0.003061631798455319
44,4.654620170185808e-06,0.2797200381755829,0.0016498050115640378
45,4.984574843547307e-06,0.12836986780166626,0.0009729770889087511
46,1.1077446288254578e-05,0.2711431384086609,0.001735342429499185
47,7.521529823861783e-06,0.5916918516159058,0.0018608522856353644
48,3.2635325624141842e-06,0.00434583704918623,0.0010496030667531563
49,1.7152157170130522e-06,0.1302628219127655,0.0006648254197056371
50,2.9760499273834284e-06,0.049960095435380936,0.0007799124906105808
