Iteration,MSE_MVGP,MSE_estimated_MVGP,func_loss
1,5.165341644897126e-05,0.23734509944915771,0.0018478698085952299
2,0.00022075262677390128,0.03340619057416916,0.001990409567716361
3,4.186007572570816e-05,0.0078737149015069,0.000590590112888431
4,6.179422052809969e-05,0.05314716696739197,0.00025211279130922374
5,1.8430308045935817e-05,4.368698500911705e-05,0.00026473191428522114
6,3.0292054361780174e-05,0.0008235215209424496,0.0008843536208452726
7,0.00014195330732036382,0.19078607857227325,0.0004572505170438456
8,3.597762406570837e-05,0.005443745758384466,0.0004875598730265025
9,0.00024465477326884866,0.4179140627384186,0.0017024752975245334
10,5.1894177886424586e-05,0.0006941582541912794,0.0009291614875379579
11,9.346489241579548e-05,0.0006397069664672017,0.00024066632044263383
12,1.3802614375890698e-05,0.34509512782096863,0.0005287046115646026
13,0.00019764532044064254,0.0006894768448546529,0.00043446480322018033
14,3.2914624171098694e-05,0.18886439502239227,0.0008236194678627524
15,3.338645910844207e-05,0.25313064455986023,0.001709280095753827
16,9.848027730186004e-06,0.018559500575065613,0.00038449970856567635
17,6.417422991944477e-05,0.19021646678447723,0.000917358504146385
18,3.3108361094491556e-05,0.012554437853395939,0.00025970940128495893
19,3.6192144762026146e-05,0.25945523381233215,0.0004367719803094924
20,7.193068449851125e-05,0.0018404637230560184,0.00035832305251528007
21,5.840697485837154e-05,0.23037903010845184,0.0006292767366512972
22,6.766428850824013e-05,0.21632686257362366,0.0008698054195890479
23,0.0001803573250072077,0.5886213779449463,0.0006565763262053089
24,3.295508213341236e-05,0.2501751482486725,0.0009510537198298995
25,2.721223972912412e-05,0.0027058098930865526,0.0005247892767564972
26,9.637277980800718e-05,0.0015196363674476743,0.0015187173700757773
27,0.000949107576161623,0.11633174866437912,0.0022328503842732905
28,0.00027562089962884784,0.37854865193367004,0.0011734819655194533
29,1.5149247701629065e-05,0.17093481123447418,0.0033685883667270967
30,0.0027613507118076086,0.7389264702796936,0.0007664794926919664
31,1.91485360119259e-05,0.1618395894765854,0.0005865831840815695
32,4.849868128076196e-05,0.33995258808135986,0.0006984168986255773
33,4.7998135414673015e-05,0.00014598033158108592,0.0003195745915339406
34,0.0001825278886826709,0.05820707604289055,0.001145321491633324
35,6.320205284282565e-05,0.8640245795249939,0.0005830014373781591
36,5.4089709010440856e-05,0.1296139657497406,0.0005103632077710548
37,7.84414223744534e-05,0.002204323885962367,0.0005777458795313982
38,2.3406992113450542e-05,0.4671802818775177,0.0029900934217342487
39,3.881644443026744e-05,0.0001835915754782036,0.00031933468441517715
40,3.057074354728684e-05,0.00014436343917623162,0.00022643324256124388
41,0.00011564519809326157,0.7604784965515137,0.0041700417249457035
42,2.974704693770036e-05,0.1564786583185196,0.0005561941581146568
43,4.8876405344344676e-05,0.0005283319624140859,0.001048490980220204
44,2.7266440156381577e-05,0.02018239162862301,0.000755791961502702
45,1.5634324881830253e-05,0.18653807044029236,0.0002934242355102604
46,2.976595533255022e-05,0.0845557451248169,0.00047644893981702843
47,0.00016438335296697915,0.0013432120904326439,0.0012658325312157911
48,0.00017178751295432448,0.7756099700927734,0.011473049369265532
49,9.234029857907444e-05,0.38374093174934387,0.0007416920489723216
50,6.457186827901751e-05,0.05082528293132782,0.0007045593175226477
