Iteration,MSE_MVGP,MSE_estimated_MVGP
1,8.379843347938731e-05,1.070454478263855
2,4.409023676998913e-05,0.9816857576370239
3,5.696837979485281e-05,0.5255941152572632
4,5.9349196817493066e-05,0.8524466753005981
5,9.916663111653179e-05,0.5132437944412231
6,3.347375604789704e-05,0.516952633857727
7,3.8287329516606405e-05,0.8339453935623169
8,0.00011192938109161332,0.9535233974456787
9,8.821670053293929e-05,0.7405727505683899
10,7.687653851462528e-05,0.5634093284606934
11,0.00042280738125555217,0.5998992919921875
12,7.499386265408248e-05,0.9523265957832336
13,6.521154136862606e-05,0.684455156326294
14,0.00016231728659477085,0.7686797976493835
15,8.919538231566548e-05,1.5475096702575684
16,9.013352246256545e-05,0.6718574166297913
17,6.985995423747227e-05,0.6679898500442505
18,8.012587204575539e-05,0.6442983150482178
19,6.104407657403499e-05,0.7946153283119202
20,6.245885015232489e-05,0.7168417572975159
21,0.00011960612755501643,0.547749936580658
22,0.00018582152551971376,1.1109747886657715
23,7.277750410139561e-05,0.7575111389160156
24,0.0001258983975276351,1.2519712448120117
25,4.9633064918452874e-05,0.5292508602142334
26,7.258937694132328e-05,0.7420852184295654
27,7.819507300155237e-05,0.968180239200592
28,0.0001420196203980595,0.7849717140197754
29,7.067630212986842e-05,0.712531328201294
30,3.8061578379711136e-05,0.7877811193466187
31,7.89716505096294e-05,0.5497434139251709
32,0.00015265830734279007,0.7916402220726013
33,0.0003078299923799932,0.7840920090675354
34,2.986167419294361e-05,0.6268152594566345
35,3.892391032422893e-05,0.8648349046707153
36,9.926337224896997e-05,0.510138213634491
37,4.575812636176124e-05,0.5165705680847168
38,0.00011317504686303437,0.7978272438049316
39,8.818979404168203e-05,0.5666836500167847
40,8.230503590311855e-05,0.6694884300231934
41,0.00010236960952170193,0.9821860790252686
42,7.063354132696986e-05,0.5670323371887207
43,0.0001059006099239923,0.8278270363807678
44,4.241009446559474e-05,0.9514240026473999
45,0.0001945739786606282,0.774924099445343
46,0.00015567698574159294,0.784700334072113
47,9.885216422844678e-05,0.5596252083778381
48,0.00013093983579892665,1.0737115144729614
49,5.87072063353844e-05,0.9736859798431396
50,0.00014784354425501078,0.9518750309944153
