Iteration,MSE_NNLocalGP,MSE_estimated_NNLocalGP
1,0.0008812898304313421,0.8809329867362976
2,0.0005896169459447265,1.333095669746399
3,0.00036562737659551203,1.6029807329177856
4,0.0009912101086229086,1.1001417636871338
5,0.0013628480955958366,2.0597360134124756
6,0.0008307720418088138,1.5829476118087769
7,0.0008849321166053414,1.4949688911437988
8,0.0005883505218662322,1.3527493476867676
9,0.0005103953299112618,1.3093520402908325
10,0.0008272606646642089,1.2197660207748413
11,0.0011652380926534534,1.0148314237594604
12,0.0007543510291725397,1.6294761896133423
13,0.00044457236072048545,1.4099652767181396
14,0.0006991437403485179,1.2820435762405396
15,0.0005667722434736788,1.1808642148971558
16,0.00019657184020616114,1.1303324699401855
17,0.0007222653948701918,1.4758408069610596
18,0.0010032134596258402,1.263920545578003
19,0.0003241271188016981,0.8792843222618103
20,0.0007728382479399443,1.1315298080444336
21,0.00035064510302618146,0.7911160588264465
22,0.0006442085141316056,1.2728897333145142
23,0.002878547180444002,1.9962559938430786
24,0.0007540821097791195,1.765324592590332
25,0.0007051181746646762,0.9111217260360718
26,0.0005019642994739115,1.4696208238601685
27,0.0004764516488648951,0.6238403916358948
28,0.0008184645557776093,1.4187281131744385
29,0.0008410689188167453,0.7837752103805542
30,0.00021183292847126722,1.2013661861419678
31,0.0002289346739416942,1.0381436347961426
32,0.0005450869211927056,1.0211058855056763
33,0.0004350990056991577,0.9139716625213623
34,0.001207447494380176,1.5042897462844849
35,0.00039274696609936655,0.8096711039543152
36,0.00045672766282223165,0.849628746509552
37,0.0009994303109124303,1.3956934213638306
38,0.0005735370796173811,0.8636108636856079
39,0.001102164387702942,2.4114649295806885
40,0.0011500047985464334,0.9232214689254761
41,0.004492457490414381,1.5826150178909302
42,0.00016851814871188253,0.7882201671600342
43,0.0009303587721660733,1.7673636674880981
44,0.0009327125153504312,1.3401429653167725
45,0.000935001764446497,1.7851018905639648
46,0.0005047346348874271,1.0242857933044434
47,0.0009431751677766442,1.346372365951538
48,0.0026775880251079798,0.8446612358093262
49,0.0016613025218248367,1.4111813306808472
50,0.0008408601861447096,1.4858990907669067
