Iteration,MSE_DGP,MSE_estimated_DGP
1,0.0005038017989136279,0.7666594982147217
2,0.0015692219603806734,0.6581496000289917
3,5.583960592048243e-05,1.064465045928955
4,0.001266681239940226,0.856810986995697
5,0.001586102182045579,1.145167589187622
6,0.0013946982799097896,0.5249428749084473
7,3.247840140829794e-05,0.5337210893630981
8,0.00037595207686536014,1.0177198648452759
9,8.194067049771547e-05,1.2752416133880615
10,7.932722655823454e-05,0.8594651818275452
11,4.672828072216362e-05,0.612644612789154
12,0.00013611430767923594,0.8737499713897705
13,0.00012928519572596997,0.607093334197998
14,0.0001853768335422501,0.7852867841720581
15,6.019715146976523e-05,1.0631808042526245
16,6.047400529496372e-05,0.8467597961425781
17,0.0009600985795259476,0.5802731513977051
18,0.0005234024138189852,0.9245333671569824
19,4.9352172936778516e-05,0.5831525325775146
20,6.573941936949268e-05,0.8752467632293701
21,0.00012408550537656993,0.7860886454582214
22,0.002524668350815773,0.7892192006111145
23,3.608845509006642e-05,0.8020146489143372
24,7.207293674582615e-05,0.6348380446434021
25,4.3914031266467646e-05,0.5282098650932312
26,4.62047137261834e-05,0.7711714506149292
27,2.987584230140783e-05,0.4819757044315338
28,6.235618639038876e-05,0.5320603847503662
29,0.0006641440559178591,1.235615849494934
30,7.732030644547194e-05,0.6320958733558655
31,5.5985765357036144e-05,0.7772716283798218
32,0.00019289944611955434,0.4670192301273346
33,5.986799078527838e-05,0.7218377590179443
34,5.5758235248504207e-05,0.8410268425941467
35,4.509572681854479e-05,0.872087836265564
36,0.0001496128097642213,0.7465407848358154
37,0.0013318541459739208,0.700185239315033
38,4.278801861801185e-05,0.7796521186828613
39,8.485501166433096e-05,0.7775601148605347
40,0.00043026331695728004,0.518572986125946
41,6.234995817067102e-05,0.8227118253707886
42,7.47145531931892e-05,0.8825541138648987
43,5.050733670941554e-05,0.4780467450618744
44,4.789761078427546e-05,0.6792594194412231
45,6.244223186513409e-05,0.7075737714767456
46,4.222202187520452e-05,0.6425389647483826
47,4.807255754712969e-05,0.8271587491035461
48,0.0015961483586579561,1.2546240091323853
49,4.999170050723478e-05,1.0265451669692993
50,5.650328239426017e-05,1.2851500511169434
