Iteration,MSE_NNMGP,MSE_estimated_NNMGP
1,0.001994902966544032,0.6603924632072449
2,0.0007357363938353956,0.8896587491035461
3,0.00016399042215198278,0.5888974666595459
4,0.00018143944907933474,0.7340083122253418
5,0.00022691012418363243,0.9957453608512878
6,0.0008561636786907911,0.5696383714675903
7,0.0001818864984670654,0.9536766409873962
8,0.0012926433701068163,1.875261902809143
9,0.002845096867531538,1.0922387838363647
10,0.0003848732740152627,0.618331253528595
11,0.0006781727424822748,0.6833847165107727
12,0.000193893036339432,0.6428683400154114
13,0.0004515136533882469,0.38908448815345764
14,0.00016821968893054873,0.5546472668647766
15,0.0032358544413000345,0.9728357791900635
16,0.0011577015975490212,1.244404911994934
17,0.00012193454313091934,0.5493326783180237
18,0.000570175179746002,1.1605504751205444
19,0.00010944221867248416,0.8557590246200562
20,0.0011880997335538268,0.7793822288513184
21,0.0003615758614614606,1.128080129623413
22,0.0002947633038274944,0.7170702815055847
23,0.00043559461482800543,1.1720346212387085
24,0.0013713666703552008,0.5058847665786743
25,0.0006569680408574641,0.6127883195877075
26,0.0003257050702814013,0.9100261330604553
27,0.0006226379191502929,0.6523570418357849
28,0.0003509448724798858,0.8849182724952698
29,0.0002453982597216964,1.3505395650863647
30,0.0005696857697330415,0.9521418213844299
31,0.00032427982660010457,0.9914435148239136
32,0.00026287237415090203,0.7481675148010254
33,0.00013610867608804256,0.7904084324836731
34,0.00019712679204531014,0.4957934021949768
35,0.0015149806858971715,1.0799243450164795
36,0.0002318558981642127,0.9189099669456482
37,0.00016394480189774185,0.93867427110672
38,0.00012510376109275967,0.6625305414199829
39,0.0008273275452665985,1.4059526920318604
40,0.001162602216936648,0.7637993097305298
41,0.0003254059120081365,0.9586705565452576
42,0.0008042730623856187,0.7171298861503601
43,0.000699262716807425,1.4906750917434692
44,0.00033278571208938956,0.6222426891326904
45,0.0008681421750225127,0.9930762052536011
46,0.0010005460353568196,0.7190985083580017
47,0.00028316627140156925,0.44415757060050964
48,0.0001608305610716343,0.7035505771636963
49,0.00014003648539073765,0.6796939969062805
50,0.00036830853787250817,0.5862494111061096
