Iteration,MSE_NNLocalGP,MSE_estimated_NNLocalGP,func_loss
1,9.982121991924942e-05,0.3584185838699341,0.005481775105686716
2,0.00021818114328198135,0.3792957365512848,0.0032209682910804447
3,6.431565270759165e-05,0.09116187691688538,0.003742232372907758
4,3.4946675441460684e-05,0.2888263761997223,0.00719418949571533
5,6.467984349001199e-05,0.9344086647033691,0.021952097903758166
6,0.00013349457003641874,0.33816802501678467,0.008013812240581805
7,0.00011949815961997956,0.48933055996894836,0.0034805324301959008
8,4.735869151772931e-05,0.7254177927970886,0.008165045884433548
9,4.3495507270563394e-05,0.1370568871498108,0.003182839590442233
10,0.00011479850218165666,0.8333168625831604,0.012429940796681438
11,4.839949542656541e-05,0.18422511219978333,0.0018203224907564516
12,9.47644148254767e-05,0.6046452522277832,0.005296709837205493
13,8.697729936102405e-05,0.10584793239831924,0.0021017575314477587
14,8.066694135777652e-05,0.20648184418678284,0.0033519566708559135
15,0.0001467259571654722,0.7755507230758667,0.010128018996409891
16,0.00013723608572036028,0.9742160439491272,0.009719901674610877
17,3.0516974220518023e-05,0.03027535043656826,0.0007832525856496499
18,7.508987619075924e-05,0.08768712729215622,0.0020088734940886584
19,2.961267819046043e-05,0.0675758421421051,0.0009388036336598883
20,6.754113564966246e-05,0.09864088892936707,0.0018491205272665764
21,0.00012552662519738078,0.1868116557598114,0.0035489248827313227
22,3.951575854443945e-05,0.18211816251277924,0.002495642005501227
23,0.00011918544623767957,0.9266470670700073,0.010980623429498303
24,0.0001283967576455325,0.47066211700439453,0.002735240975905779
25,5.1926028390880674e-05,0.0873192846775055,0.0010026075750054723
26,7.116779306670651e-05,0.11822228133678436,0.004352011480511498
27,0.00013104853860568255,0.9342562556266785,0.009604355694103072
28,5.312778375810012e-05,0.3753513991832733,0.003442444473438189
29,0.00023406661057379097,1.2311753034591675,0.01035597812612347
30,0.00016372250684071332,1.044410228729248,0.018440698283854914
31,8.730938861845061e-05,0.6357150673866272,0.007921987201135143
32,5.979958950774744e-05,0.19846417009830475,0.0016487915241264596
33,4.8698304453864694e-05,0.056077685207128525,0.0025203153796879902
34,7.063645171001554e-05,0.5936758518218994,0.0100376926946208
35,3.887899947585538e-05,0.2021719366312027,0.0065630616704260725
36,9.48962479014881e-05,0.3727189600467682,0.008455294099770038
37,0.00013434645370580256,0.5250743627548218,0.002328245900840826
38,3.044537515961565e-05,0.1379946768283844,0.00587966373563244
39,0.00017660876619629562,0.3514804542064667,0.009012787478611615
40,6.54386094538495e-05,0.7490139007568359,0.009773193910034563
41,0.00017388384731020778,0.36456596851348877,0.006204463044586764
42,7.3857547249645e-05,0.1766287386417389,0.005431493753551169
43,0.0005043288110755384,0.2602231502532959,0.0034511609734451027
44,5.918522219872102e-05,0.10914216190576553,0.003467802434628269
45,7.264156738528982e-05,0.39496833086013794,0.004336631129060859
46,0.00010924458911176771,0.5080020427703857,0.006212055416889834
47,0.00012805970618501306,1.0489767789840698,0.009498755914575196
48,3.270246816100553e-05,0.2765604555606842,0.0070200599110211
49,0.00046339791151694953,0.6157175898551941,0.008906572475165443
50,5.2531238907249644e-05,0.3734557330608368,0.004069219300112713
