Iteration,MSE_VGP,MSE_estimated_VGP
1,0.0005480452673509717,1.233596920967102
2,0.00019546225666999817,1.094316840171814
3,0.00039884529542177916,0.6803775429725647
4,0.00020235376723576337,1.379285454750061
5,0.0001245829334948212,1.0379173755645752
6,0.0003455588885117322,0.6063469648361206
7,0.0009916770504787564,0.8607053160667419
8,0.0005733085563406348,0.9651534557342529
9,0.00010303784802090377,0.7015852332115173
10,0.0003090825048275292,0.6730442643165588
11,0.0010432099224999547,0.8205083012580872
12,0.00026199989952147007,1.1988645792007446
13,0.0008514978107996285,1.0913794040679932
14,0.0003409849596209824,0.6121175289154053
15,0.0005034661153331399,0.8716967701911926
16,0.0006812654319219291,0.6723361611366272
17,0.00035662911250256,0.5613966584205627
18,0.0003717417421285063,1.027173638343811
19,0.0003982671187259257,0.7561187744140625
20,0.00041012599831447005,0.7372294664382935
21,0.000208190074772574,0.6958960890769958
22,0.00030419183894991875,0.6149469017982483
23,0.00012605336087290198,0.8930343985557556
24,0.0004169693565927446,0.8387252688407898
25,0.0004342904721852392,1.527946949005127
26,0.0006393942167051136,0.7529304623603821
27,0.000203647548914887,0.5760174989700317
28,0.00049938028678298,0.8540917038917542
29,0.00036215526051819324,0.6755191087722778
30,0.00017279571329709142,0.8658196926116943
31,0.00035288516664877534,0.7252212166786194
32,0.000678586307913065,0.6136844754219055
33,0.0007835848373360932,0.9389696717262268
34,0.00013858373858965933,0.7884148359298706
35,0.0002736477181315422,0.44276928901672363
36,0.00013469035911839455,0.7360208034515381
37,0.0006054268451407552,0.9111528992652893
38,0.00039230016409419477,0.9345864653587341
39,0.0005559808341786265,0.5806151032447815
40,0.0003127903619315475,0.9197925925254822
41,0.00013180880341678858,0.6515499949455261
42,0.00026614859234541655,0.49341434240341187
43,0.0005334978341124952,0.6272568702697754
44,0.00028312794165685773,0.6467245817184448
45,0.00015738264482934028,0.5226450562477112
46,0.0003341686970088631,0.8801327347755432
47,0.0006403453880921006,0.7022932767868042
48,0.00048583708121441305,0.7941860556602478
49,0.0003445665061008185,1.056536316871643
50,0.00015060162695590407,0.8697840571403503
