Iteration,MSE_MGP,MSE_estimated_MGP
1,7.115368589438731e-06,0.6843999028205872
2,8.981422979559284e-06,0.6920896172523499
3,8.742309546505567e-06,0.9761117100715637
4,1.4836922673566733e-05,1.099716305732727
5,1.4062226000532974e-05,1.036756992340088
6,9.25425501918653e-06,1.3906750679016113
7,1.2171029084129259e-05,0.517267107963562
8,1.8555972928879783e-05,1.3591607809066772
9,1.3001389561395627e-05,1.1629583835601807
10,1.206952401844319e-05,1.4083101749420166
11,7.34057084628148e-06,0.6409538388252258
12,1.4136960999167059e-05,0.541078507900238
13,1.224262723553693e-05,0.5821835398674011
14,9.59672161116032e-06,1.0263170003890991
15,1.7605623725103214e-05,0.7016590237617493
16,9.427807526662946e-06,0.5628806948661804
17,1.4734602700627875e-05,0.8729531168937683
18,2.7443149519967847e-05,0.7595624327659607
19,1.4980095329519827e-05,0.7321833968162537
20,1.5670137145207264e-05,0.8157609105110168
21,9.908336323860567e-06,0.8769293427467346
22,1.608078309800476e-05,1.0288739204406738
23,1.2315668755036313e-05,0.6148645877838135
24,1.0838990419870242e-05,0.6849548816680908
25,1.6169929949683137e-05,0.8571738004684448
26,1.554707341711037e-05,0.646411120891571
27,7.692513463553041e-06,0.6542758941650391
28,1.293778041144833e-05,0.7133163809776306
29,1.232883550983388e-05,0.819460391998291
30,6.769616447854787e-06,0.6342433094978333
31,9.103831871470902e-06,0.8794811367988586
32,5.57463317818474e-06,0.850108802318573
33,9.424773452337831e-06,1.146120309829712
34,1.4701196960231755e-05,0.42911872267723083
35,1.0059247870231047e-05,0.47024866938591003
36,1.3228203897597268e-05,0.4944319427013397
37,9.061605851456989e-06,0.5845836400985718
38,9.453780876356177e-06,0.6787306666374207
39,2.325006789760664e-05,0.7710747718811035
40,9.821065759751946e-06,0.7359004020690918
41,1.0884440598601941e-05,0.8003320097923279
42,2.9425809771055356e-05,0.9723156690597534
43,1.0932181794487406e-05,0.7623405456542969
44,9.197778126690537e-06,0.9381935596466064
45,1.2493271242419723e-05,0.7582907676696777
46,1.3037297321716323e-05,1.0006468296051025
47,1.4673843907075934e-05,1.271302342414856
48,8.19076467450941e-06,1.1302515268325806
49,9.233788659912534e-06,1.0020692348480225
50,1.4875094166200142e-05,0.7188065052032471
