Iteration,MSE_VGP,MSE_estimated_VGP,func_loss
1,8.358053310075775e-05,0.27721914649009705,0.002745369134235834
2,0.00010302223381586373,0.2163325697183609,0.009712361606943887
3,0.00019351119408383965,0.027532195672392845,0.004741039179390538
4,0.00018692199955694377,0.004718472249805927,0.0013097340729641641
5,9.366326412418857e-05,0.04342763498425484,0.000880603212458987
6,0.00010003519855672494,0.21695157885551453,0.013559329684573674
7,0.00011198632273590192,0.48438361287117004,0.004283831929098125
8,0.00012380527914501727,0.0012225921964272857,0.0017431975804221885
9,0.0002639522426761687,0.0025336164981126785,0.002120981401310052
10,0.00017753381689544767,0.12006398290395737,0.008541512333135028
11,0.00014834794274065644,0.1246952936053276,0.006424831549275546
12,4.500452632782981e-05,0.027756042778491974,0.001962239822104392
13,0.0001511270529590547,0.3164316713809967,0.019822331561752234
14,0.0010596594074741006,0.2960490584373474,0.004525447761773615
15,0.0001284773024963215,0.32470405101776123,0.009191852684361275
16,0.00017092716007027775,0.4608982801437378,0.00680012532487766
17,0.00010562816896708682,0.08571142703294754,0.0008824164580329563
18,8.137426630128175e-05,0.3543298542499542,0.005684626895176566
19,0.00016648830205667764,0.037519339472055435,0.0019579053987399675
20,8.73319004313089e-05,0.2896004617214203,0.020470413626804254
21,0.0001856291200965643,0.045683976262807846,0.003098500300472585
22,0.00023693183902651072,0.002147799590602517,0.001333084468637093
23,0.00010124635446118191,0.19994714856147766,0.0071127536847160186
24,0.00023845440591685474,0.13116759061813354,0.002763968344677576
25,6.94010523147881e-05,0.136449933052063,0.0020266590217943303
26,0.0004593299818225205,0.21950912475585938,0.00869603042762416
27,0.00010473425936652347,0.00029152791830711067,0.0018265058812782324
28,0.00010570370795903727,0.13716894388198853,0.0051517970862025525
29,0.0002160829317290336,0.3111723065376282,0.0021272648718877463
30,0.00010879764158744365,0.17914044857025146,0.0020466753407230565
31,7.656036905245855e-05,0.017644377425312996,0.0019698112416706324
32,0.00010850260878214613,0.13168439269065857,0.0007985776052616226
33,0.00011449249723227695,0.32347023487091064,0.0012193946966834591
34,9.643830708228052e-05,0.7135397791862488,0.01265669310231277
35,0.00028033016133122146,0.10127837210893631,0.004766129392481633
36,0.0003196830803062767,0.018360909074544907,0.002740684001798433
37,0.00013953012239653617,0.3428492248058319,0.004041453464634725
38,0.0002750801504589617,0.24606862664222717,0.0024650435297088632
39,0.000132342625875026,0.44616660475730896,0.002342997314338357
40,0.00014027568977326155,0.06732745468616486,0.00953443596726747
41,0.00023848318960517645,0.20038364827632904,0.011661314354906036
42,9.13660551304929e-05,0.346711665391922,0.028700082883544923
43,0.00035178897087462246,0.07396198809146881,0.0011650015113883892
44,0.00027739114011637866,0.03518221899867058,0.0036671187347868304
45,0.0002849253360182047,0.5373859405517578,0.003139578330134369
46,0.00037400348810479045,0.11884236335754395,0.0072198961172236726
47,0.00022713821090292186,0.06110790744423866,0.007319963130241915
48,9.536826837575063e-05,0.0011473298072814941,0.0008072374780399345
49,0.00011082593846367672,0.27301859855651855,0.012777808576814735
50,9.616635361453518e-05,0.0030833983328193426,0.0009551414246002592
