Iteration,Datasize_4096,Datasize_3576,Datasize_3076,Datasize_2548,Datasize_2048,Datasize_1524,Datasize_1024
1,0.00055937906,0.00020204,0.0002507809,0.00035108198,0.00021831002,0.00024071391,0.08251543
2,0.00036397923,0.00048033797,0.0002414493,0.0003749453,0.00044564344,0.0005615528,0.00048183533
3,0.00024705578,0.010415011,0.00069296034,0.00024833108,0.00019949755,0.00017416812,0.0003886795
4,0.04721949,0.0018404672,0.0016494902,0.00048555215,0.0012223201,0.0005294147,0.017271874
5,0.00092798495,0.0011872851,0.00022193357,0.0009671188,0.00019570433,0.0002458056,0.00056788966
6,0.00025420706,0.00036742314,0.0007675619,0.00016729027,0.0007973702,0.002584706,0.0095859235
7,0.000572779,0.0002905336,0.00047469718,0.0003738017,0.0011558305,0.02530483,0.022837875
8,0.0010978318,0.0005323113,0.00028014617,0.0003252086,0.001581726,0.00093830406,0.002865839
9,0.00042295083,0.0004261933,0.0005349782,0.000957885,0.0008181125,0.0016117176,0.0043443292
10,0.00075551204,0.0006330289,0.0015833364,0.00044039043,0.0001804909,0.03480014,0.0014767414
11,0.0010991077,0.00036114585,0.00084014464,0.0001501386,0.00052121776,0.0002473129,0.0005492597
12,0.00031065792,0.00037111624,0.0003770046,0.0009549935,0.0035837707,0.000544263,0.0006008812
13,0.004186995,0.0011324815,0.00031405123,0.000907105,0.0023552775,0.0003633993,0.002462015
14,0.00026816188,0.0008629878,0.0018664044,0.0004158823,0.00021519502,0.00022168456,0.0006667472
15,0.00034687805,0.0010484228,0.00031834838,0.00021298119,0.0003519504,0.0003515444,0.00030683677
16,0.00022911363,0.0058625755,0.0008425359,0.0015567988,0.0002448458,0.00024730276,0.013893743
17,0.00026027003,0.00025673612,0.00047531462,0.00083703647,0.000670688,0.0003181404,0.0049635023
18,0.00033329558,0.0005897392,0.00035135186,0.00034725163,0.003661116,0.0011104415,0.0018661612
19,0.00015755657,0.0005687212,0.00015778223,0.00038119426,0.0001716825,0.0004237217,0.00022379718
20,0.00054874097,0.00016941423,0.00032857773,0.00026229696,0.006655247,0.003518265,0.00035927037
21,0.00015836715,0.0001560766,0.0007118124,0.00042518953,0.00022212003,0.00016777798,0.00022561697
22,0.008159797,0.00048790872,0.0003139349,0.0005018103,0.00066623825,0.000617027,0.0023127478
23,0.00062689435,0.013523103,0.0020005247,0.00045704178,0.00038923934,0.00035691445,0.022581516
24,0.001170898,0.009647382,0.0012188539,0.018449262,0.0021505042,0.0082681365,0.0007776792
25,0.0005299653,0.0025986289,0.009745247,0.0022766602,0.035730448,0.0005478137,0.001054294
26,0.0112003945,0.014446132,0.011937473,0.06005825,0.002348266,0.010957446,0.04205464
27,0.00092896115,0.0020544932,0.00029526517,0.002032378,0.00033956117,0.03784291,0.000992149
28,0.0009799505,0.00022473476,0.000276549,0.0025729164,0.013129727,0.0047264746,0.0019335984
29,0.00030516522,0.00023894754,0.00039055062,0.0014721467,0.00028677756,0.00035736305,0.00048901443
30,0.00019248805,0.00069386803,0.00023241247,0.0018164259,0.0059119645,0.0034134293,0.00034887265
31,0.00037854916,0.00026043394,0.00010396368,0.00028116818,0.0004629832,0.0007514374,0.0016792846
32,0.00013152167,0.00020567297,0.0006061338,0.00014043842,0.0004021295,0.00070453656,0.0002978236
33,0.00039620476,0.0004015624,0.00027197026,0.00068191777,0.0008851011,0.002759927,0.00076949474
34,0.00035916778,0.00051536405,0.0008779818,0.0006896337,0.0010181679,0.000922722,0.001183953
35,0.00027156543,0.000738304,0.00022438748,0.0001336596,0.00041557723,0.001960654,0.000795528
36,0.00066885486,0.00053301116,0.00033628283,0.00034065373,0.00050180516,0.0008368339,0.00023850537
37,0.00038663324,0.00024229742,0.00021957501,0.011509328,0.00038490965,0.001790193,0.0062171305
38,0.00051594205,0.0011726775,0.0008902914,0.0006487542,0.0046530426,0.00047757084,0.0019058133
39,0.0021778215,0.0015153231,0.00055957766,0.0012528953,0.004875506,0.020732928,0.004552591
40,0.000248749,0.0003945004,0.0002851542,0.0020976996,0.00043427665,0.00019028317,0.00024303819
41,0.00068307505,0.00027852142,0.00025947304,0.0007860206,0.000732609,0.0005306571,0.0011926384
42,0.0015413015,0.0011726572,0.00019670975,0.00034602731,0.0015826231,0.0061558345,0.00028965715
43,0.00028194956,0.0003016625,0.00039857806,0.0021674251,0.0003162987,0.00022903591,0.0006649355
44,0.093533605,0.09260818,0.05742723,0.09494823,0.09455666,0.12117442,0.123366214
45,0.00074368867,0.0008022482,0.00024879532,0.00016053214,0.004905488,0.0004115932,0.002830754
46,0.0003581041,0.00023338347,0.00038347163,0.000267724,0.00030234456,0.002585906,0.0005318792
47,0.00022297239,0.00021325258,0.00023362164,0.00017782414,0.00017604583,0.0008130246,0.001395004
48,0.0023632576,0.002600058,0.00041279816,0.0006920948,0.0003578636,0.0006055563,0.014932118
49,0.00047430673,0.00035607495,0.00014501127,0.00029889453,0.0005817068,0.00046223437,0.00044483642
50,0.007358911,0.014777572,0.0012521808,0.0005669658,0.02343507,0.00035736404,0.022307988
