Iteration,Datasize_4096,Datasize_3576,Datasize_3076,Datasize_2548,Datasize_2048,Datasize_1524,Datasize_1024
1,1.7807402e-05,0.026194105,5.745487e-05,0.00011214647,2.7542146e-05,0.00015689638,5.894007e-05
2,2.5546875e-05,3.5446617e-05,3.880537e-05,5.0520273e-05,0.00045031006,5.777576e-05,9.91874e-05
3,1.5834446e-05,3.2301417e-05,1.4032098e-05,2.436342e-05,2.1321133e-05,2.3944516e-05,3.1633124e-05
4,1.5312164e-05,2.7266846e-05,2.9415742e-05,6.577484e-05,0.028150974,8.359997e-05,3.8088063e-05
5,4.8436592e-05,5.3408166e-05,4.5664437e-05,4.1798103e-05,3.6699716e-05,4.3422668e-05,4.7948186e-05
6,4.4939607e-05,5.0250306e-05,4.711567e-05,6.840726e-05,7.774136e-05,0.015923772,5.6833775e-05
7,2.8704257e-05,2.2061911e-05,2.1124051e-05,3.1537445e-05,2.978223e-05,3.144266e-05,3.757321e-05
8,0.00012917754,0.00014120765,0.00015118594,0.00015281026,0.00014597138,0.00017634069,0.00017340947
9,0.000120691635,0.000155925,0.00019300918,0.00016291825,0.0001984705,0.00029806685,0.0002453493
10,8.66884e-05,0.048635002,0.025838908,0.027739417,0.00011367999,0.023011325,0.00013238225
11,2.8309183e-05,3.4222947e-05,3.205537e-05,4.037347e-05,7.680971e-05,5.8540605e-05,4.915755e-05
12,2.7160875e-05,2.946849e-05,3.4984012e-05,4.2523723e-05,4.8225287e-05,4.7067148e-05,5.2368498e-05
13,0.029207394,0.028607236,0.029097931,0.028643714,0.029415097,0.029566333,0.048332453
14,2.2267961e-05,2.5233488e-05,2.4074896e-05,3.026365e-05,2.370338e-05,3.497741e-05,3.979956e-05
15,1.5444208e-05,1.8537954e-05,1.9697058e-05,2.0645999e-05,2.6918422e-05,2.4177052e-05,3.157751e-05
16,4.4578344e-05,4.9633698e-05,5.473681e-05,5.8319412e-05,5.308192e-05,7.826333e-05,6.713596e-05
17,3.4890178e-05,4.4031654e-05,0.033826873,0.03372094,0.033717915,0.033357125,0.033836145
18,3.734503e-05,4.805809e-05,6.0221802e-05,5.5889173e-05,0.000104884944,6.5759275e-05,6.8963986e-05
19,2.642189e-05,2.594113e-05,2.6277088e-05,2.6218789e-05,2.5804508e-05,2.6217021e-05,2.6186915e-05
20,2.9031233e-05,2.4502642e-05,3.8860264e-05,3.0431835e-05,3.7835583e-05,4.5062483e-05,5.507189e-05
21,9.054417e-05,8.2499566e-05,0.0001011238,0.00013324911,0.000118494085,0.0001092011,0.00015869382
22,3.490669e-05,3.410186e-05,3.2315525e-05,4.3638556e-05,4.432667e-05,0.029186621,0.030378513
23,7.514394e-05,6.458532e-05,6.529608e-05,7.553344e-05,8.072349e-05,7.717352e-05,0.00010540528
24,4.2793523e-05,4.425294e-05,4.636313e-05,5.2604257e-05,5.381881e-05,5.371417e-05,6.816857e-05
25,4.2668864e-05,4.3797285e-05,4.048283e-05,3.9910694e-05,4.8965743e-05,4.791029e-05,5.803916e-05
26,1.9602416e-05,2.6169182e-05,2.7747868e-05,3.0388099e-05,3.0268166e-05,3.9957613e-05,4.006585e-05
27,2.8432214e-05,3.186349e-05,3.5064273e-05,3.6196332e-05,4.2233245e-05,5.250608e-05,7.430076e-05
28,3.9215145e-05,3.7244725e-05,3.88084e-05,4.495292e-05,5.4319033e-05,5.9376616e-05,7.741269e-05
29,0.005513404,0.0059556635,0.005708247,0.0055234185,0.0057003195,0.0059691197,0.006231876
30,2.203664e-05,2.3645613e-05,2.6746977e-05,2.8954017e-05,3.0561794e-05,3.6661626e-05,5.0395993e-05
31,2.981824e-05,4.1035044e-05,3.9696708e-05,4.1081134e-05,4.2287535e-05,6.1848594e-05,5.3770505e-05
32,0.0001300861,0.00017650983,0.00022419207,9.8167024e-05,0.00011403496,0.00013162414,0.00024833463
33,6.876355e-05,7.6709315e-05,7.539986e-05,5.618536e-05,7.684982e-05,0.00016620451,0.00010783252
34,0.00020422811,0.00024614116,0.0002569243,0.00026157705,0.00029504948,0.04762791,0.045873765
35,5.7717258e-05,6.5070846e-05,7.9294245e-05,7.501502e-05,7.526172e-05,0.000108765315,9.745317e-05
36,8.7809465e-05,6.195052e-05,6.246183e-05,6.697379e-05,7.483979e-05,8.408962e-05,9.6499454e-05
37,7.982669e-05,9.223443e-05,9.86882e-05,0.00012216087,0.00016787827,0.00020373374,0.00022018811
38,7.95499e-05,7.63496e-05,8.141001e-05,8.371679e-05,7.9372905e-05,8.679234e-05,0.00020392558
39,0.050616864,0.05129785,0.050672762,0.050809234,0.050505098,0.051005602,0.05055084
40,8.11885e-05,9.537e-05,0.00014171221,0.00011352872,0.000104127226,0.00014909256,0.00021805422
41,7.7202305e-05,9.580812e-05,9.756574e-05,0.0001289221,0.00012856319,0.00011149229,0.00012874772
42,9.566007e-05,0.00010644606,0.000107877735,0.00013529007,0.00011200956,0.00013737772,0.00017949328
43,0.055294875,0.054955754,0.05522118,0.055023428,0.054750156,0.054951098,0.05530171
44,8.142813e-05,0.00010321451,0.000103045895,9.835982e-05,0.00010547344,0.0001582382,0.00030028235
45,2.7389895e-05,2.8452381e-05,2.9383973e-05,3.2865402e-05,3.626817e-05,3.974576e-05,4.8226146e-05
46,2.4981604e-05,4.7536208e-05,4.6602377e-05,6.9376250e-05,7.809371e-05,7.808166e-05,9.1359977e-05
47,4.4647045e-05,5.9739437e-05,5.4065481e-05,3.9018869e-05,0.00084957934,0.00041623807,0.0001062483
48,1.7272998e-05,1.7839144e-05,2.19069725e-05,2.62425747e-05,3.148191e-05,4.568544e-05,5.9652620e-05
49,1.5579754e-05,1.6143109e-05,1.832442854e-05,2.280893e-05,3.926094e-05,9.9916923e-05,0.0005716579576296444
50,3.3696582e-05,3.9205613e-05,3.81167146e-05,3.4501093e-05,3.2619291e-05,4.7445478e-05,4.828194e-05

