Iteration,MSE_NNMGP,MSE_estimated_NNMGP
1,0.000569529423955828,0.11337875574827194
2,0.0012531285174190998,0.06961531192064285
3,0.0012646515388041735,0.09036199748516083
4,0.0011239632731303573,0.26380234956741333
5,0.0004817980225197971,0.2550133168697357
6,0.000595051737036556,0.32419559359550476
7,0.000788933364674449,0.17644087970256805
8,0.0007143067196011543,0.36307820677757263
9,0.0007596713840030134,0.3345445692539215
10,0.0008425632840953767,0.1961100548505783
11,0.00045139380381442606,0.18724942207336426
12,0.0012375505175441504,0.15651245415210724
13,0.000495131011120975,0.14174866676330566
14,0.0013016604352742434,0.2712588906288147
15,0.0007607628358528018,0.18138019740581512
16,0.0007470830460079014,0.1493866741657257
17,0.0018412753706797957,0.49986398220062256
18,0.0004096281190868467,0.2635704576969147
19,0.0011509332107380033,0.040468186140060425
20,0.0027225972153246403,0.3151497542858124
21,0.0004526668053586036,0.05569027364253998
22,0.0008213167311623693,0.17931681871414185
23,0.0006594745209440589,0.20228475332260132
24,0.0003196108154952526,0.3348709046840668
25,0.0009025628678500652,0.27812016010284424
26,0.0007784691988490522,0.21299296617507935
27,0.00045974121894687414,0.172285795211792
28,0.0019007283262908459,0.009800326079130173
29,0.0006289274315349758,0.0805739238858223
30,0.0007002186612226069,0.501964271068573
31,0.0006469128420576453,0.1342858076095581
32,0.0016185843851417303,0.19378425180912018
33,0.0005780149949714541,0.09463204443454742
34,0.001115748891606927,0.17171648144721985
35,0.0012080454034730792,0.5899415612220764
36,0.0005473937490023673,0.19548676908016205
37,0.001158353523351252,0.48572131991386414
38,0.004421802703291178,0.12005171924829483
39,0.0004951113369315863,0.005304267629981041
40,0.0007523588137701154,0.2493785172700882
41,0.00047866071690805256,0.2634710669517517
42,0.001084003015421331,0.38418930768966675
43,0.0005178499268367887,0.05624153092503548
44,0.005519891157746315,0.41613397002220154
45,0.000516192230861634,0.10765745490789413
46,0.0011703615309670568,0.13858911395072937
47,0.0010411146795377135,0.15610453486442566
48,0.0010064687812700868,0.23294903337955475
49,0.0004709891800303012,0.2051503211259842
50,0.0007709001074545085,0.05733081325888634
