Iteration,MSE_LocalGP,MSE_estimated_LocalGP
1,9.681486699264497e-05,1.3956654071807861
2,9.905563638312742e-05,1.5562905073165894
3,7.021305646048859e-05,1.447056770324707
4,9.589275578036904e-05,1.4207491874694824
5,0.00011837002239190042,1.7153874635696411
6,0.00014445901615545154,2.2014124393463135
7,8.02238064352423e-05,1.1571675539016724
8,7.7970398706384e-05,1.6361967325210571
9,7.613141497131437e-05,1.2024283409118652
10,8.563302981201559e-05,0.8970312476158142
11,0.00010269805352436379,1.0063962936401367
12,8.19846973172389e-05,1.0030852556228638
13,7.256962271640077e-05,0.887784481048584
14,7.363798067672178e-05,1.047394037246704
15,9.201305510941893e-05,1.079257845878601
16,0.00010296780965290964,1.4237252473831177
17,7.912705768831074e-05,0.601036787033081
18,9.85104707069695e-05,1.4898773431777954
19,9.747486183186993e-05,1.3530631065368652
20,0.00010052260040538386,1.2528460025787354
21,8.256873115897179e-05,1.1457653045654297
22,0.00010795101115945727,1.347926378250122
23,0.00012507413339335471,1.7766587734222412
24,9.47645676205866e-05,1.063100814819336
25,0.00014810862194281071,1.4254170656204224
26,9.677953494247049e-05,1.2594258785247803
27,8.380561484955251e-05,0.9483883380889893
28,7.392913539661095e-05,0.8151493072509766
29,8.219047595048323e-05,0.8244343400001526
30,8.592242375016212e-05,1.0721733570098877
31,7.826949149603024e-05,1.0447123050689697
32,7.864218059694394e-05,1.3508745431900024
33,9.593444701749831e-05,1.3423115015029907
34,9.691905870568007e-05,1.7070538997650146
35,7.84394214861095e-05,1.4976946115493774
36,8.109287591651082e-05,1.3669346570968628
37,7.311288936762139e-05,0.8784758448600769
38,0.00015083642210811377,1.3361296653747559
39,7.365699275396764e-05,1.2527145147323608
40,8.300726767629385e-05,0.6345458030700684
41,0.0001132836623582989,0.9480600357055664
42,0.0001282294833799824,1.5539594888687134
43,0.00014594258391298354,1.4781875610351562
44,9.048619540408254e-05,1.5258983373641968
45,0.00011332755821058527,1.3519331216812134
46,9.439879067940637e-05,0.7703057527542114
47,0.00012122969201300293,1.82695472240448
48,0.00010144092084374279,1.4367870092391968
49,0.00012494040129240602,1.5372434854507446
50,0.00011476471263449639,1.195580005645752
