Iteration,MSE_NN,MSE_estimated_NN
1,0.00025772195658646524,0.02609068900346756
2,0.00033420827821828425,0.5386464595794678
3,0.0003836661053355783,0.20149299502372742
4,0.0003438398998696357,0.04864900931715965
5,0.00030109696672298014,0.21709521114826202
6,0.0002932597999460995,0.18315713107585907
7,0.00019056559540331364,0.1814700961112976
8,0.00019881894695572555,0.09857519716024399
9,0.00017531882622279227,0.10099370777606964
10,3.095778703689575,0.2284497767686844
11,0.0001877107861218974,0.011259112507104874
12,0.0003960661997552961,0.4166162610054016
13,0.0001658983383094892,0.025153174996376038
14,0.00019320698629599065,0.16926953196525574
15,0.00014476687647402287,0.20377670228481293
16,0.0005887887091375887,0.06515541672706604
17,0.00014881358947604895,0.08690592646598816
18,0.00030300140497274697,0.31836917996406555
19,0.00024404552823398262,0.17888988554477692
20,0.0002530421770643443,0.1449836790561676
21,0.00029022296075709164,0.06960640102624893
22,0.00017562803986947984,0.3879568576812744
23,0.00017600847058929503,0.023100992664694786
24,0.0003045183839276433,0.1056608334183693
25,0.0002209785598097369,0.36967355012893677
26,0.0004482640069909394,0.1303839087486267
27,0.0003002877638209611,0.12050483375787735
28,0.0005157255218364298,0.1917634904384613
29,0.0003121730696875602,0.3296632468700409
30,0.0004814384155906737,0.3339332938194275
31,0.0002330605057068169,0.16136781871318817
32,0.0004552214522846043,0.30346444249153137
33,0.00023708933440502733,0.11509469151496887
34,0.00024305537226609886,0.06789058446884155
35,0.00023861011140979826,0.18370658159255981
36,0.0002154344692826271,0.3039514124393463
37,0.0003079247835557908,0.28797081112861633
38,0.00021111096430104226,0.13768844306468964
39,0.00030338516808114946,0.039427489042282104
40,0.00034213095204904675,0.12579621374607086
41,0.00013525392569135875,0.24740329384803772
42,0.00021218377514742315,0.2273688167333603
43,0.0002493271022103727,0.08302239328622818
44,0.00029436807380989194,0.2560034394264221
45,0.00021970058151055127,0.242466002702713
46,0.0005342962685972452,0.021597718819975853
47,0.00038927842979319394,0.1732691377401352
48,0.00018964354239869863,0.16189205646514893
49,0.0003287623985670507,0.35336410999298096
50,0.0005208270740695298,0.21637284755706787
